date	commit	benchmark	mutsu_median_s	mutsu_min_s	raku_median_s	ratio_mutsu_over_raku	runs	runner	rakudo
2026-07-12T06:07:21Z	9310510bb38458e902880262a61ac57beb46a0f0	array-ops	0.1303	0.1270	0.2677	0.49	7	4c-x86_64-ubuntu24	Welcome to Rakudo™ v2022.12.
2026-07-12T06:07:21Z	9310510bb38458e902880262a61ac57beb46a0f0	bench-array	0.0647	0.0642	0.2749	0.24	7	4c-x86_64-ubuntu24	Welcome to Rakudo™ v2022.12.
2026-07-12T06:07:21Z	9310510bb38458e902880262a61ac57beb46a0f0	bench-class	0.3130	0.3061	0.2882	1.09	7	4c-x86_64-ubuntu24	Welcome to Rakudo™ v2022.12.
2026-07-12T06:07:21Z	9310510bb38458e902880262a61ac57beb46a0f0	bench-fib	2.2818	2.2507	0.3086	7.39	7	4c-x86_64-ubuntu24	Welcome to Rakudo™ v2022.12.
2026-07-12T06:07:21Z	9310510bb38458e902880262a61ac57beb46a0f0	bench-hash	0.0472	0.0467	0.2539	0.19	7	4c-x86_64-ubuntu24	Welcome to Rakudo™ v2022.12.
2026-07-12T06:07:21Z	9310510bb38458e902880262a61ac57beb46a0f0	bench-startup	0.0081	0.0077	0.1389	0.06	7	4c-x86_64-ubuntu24	Welcome to Rakudo™ v2022.12.
2026-07-12T06:07:21Z	9310510bb38458e902880262a61ac57beb46a0f0	bench-string	0.1036	0.1029	0.2742	0.38	7	4c-x86_64-ubuntu24	Welcome to Rakudo™ v2022.12.
2026-07-12T06:07:21Z	9310510bb38458e902880262a61ac57beb46a0f0	fib	0.7709	0.7569	0.2532	3.04	7	4c-x86_64-ubuntu24	Welcome to Rakudo™ v2022.12.
2026-07-12T06:07:21Z	9310510bb38458e902880262a61ac57beb46a0f0	hash-access	0.0432	0.0422	0.2013	0.21	7	4c-x86_64-ubuntu24	Welcome to Rakudo™ v2022.12.
2026-07-12T06:07:21Z	9310510bb38458e902880262a61ac57beb46a0f0	int-arith	0.1527	0.1491	0.2043	0.75	7	4c-x86_64-ubuntu24	Welcome to Rakudo™ v2022.12.
2026-07-12T06:07:21Z	9310510bb38458e902880262a61ac57beb46a0f0	method-call	0.3214	0.3158	0.2344	1.37	7	4c-x86_64-ubuntu24	Welcome to Rakudo™ v2022.12.
2026-07-12T06:07:21Z	9310510bb38458e902880262a61ac57beb46a0f0	string-concat	0.0265	0.0257	0.1762	0.15	7	4c-x86_64-ubuntu24	Welcome to Rakudo™ v2022.12.
2026-07-12T06:27:06Z	08cd257eadcb58af8cb42da84653a066ca562a81	array-ops	0.0844	0.0821	0.1670	0.51	7	4c-x86_64-ubuntu24	Welcome to Rakudo™ v2022.12.
2026-07-12T06:27:06Z	08cd257eadcb58af8cb42da84653a066ca562a81	bench-array	0.0475	0.0472	0.1729	0.27	7	4c-x86_64-ubuntu24	Welcome to Rakudo™ v2022.12.
2026-07-12T06:27:06Z	08cd257eadcb58af8cb42da84653a066ca562a81	bench-class	0.1702	0.1687	0.1862	0.91	7	4c-x86_64-ubuntu24	Welcome to Rakudo™ v2022.12.
2026-07-12T06:27:06Z	08cd257eadcb58af8cb42da84653a066ca562a81	bench-fib	2.0653	2.0553	0.1970	10.48	7	4c-x86_64-ubuntu24	Welcome to Rakudo™ v2022.12.
2026-07-12T06:27:06Z	08cd257eadcb58af8cb42da84653a066ca562a81	bench-hash	0.0304	0.0300	0.1629	0.19	7	4c-x86_64-ubuntu24	Welcome to Rakudo™ v2022.12.
